a,b
-8.969886306339188,-17.939772612678375
6.283020994973715,12.56604198994743
4.7114396301854065,9.422879260370813
-5.249618509285813,-10.499237018571627
5.3790125038211904,10.758025007642381
9.618607555861793,19.237215111723586
-4.540222410500965,-9.08044482100193
5.1822660447263935,10.364532089452787
-5.75992039246656,-11.51984078493312
7.4026562061109935,14.805312412221987
-6.209762401098359,-12.419524802196719
6.823672042421581,13.647344084843162
-9.504298558682581,-19.008597117365163
1.6090339908898894,3.218067981779779
6.352473869406175,12.70494773881235
6.942628183399801,13.885256366799602
-1.528578845002425,-3.05715769000485
-1.2479539328291889,-2.4959078656583777
3.306834374042417,6.613668748084834
7.867371732705738,15.734743465411476
6.514122915259666,13.028245830519332
9.772853421700923,19.545706843401845
-0.7560544782747964,-1.5121089565495929
-2.078553348187717,-4.157106696375434
2.8978612042768432,5.7957224085536865
-0.49315921689613873,-0.9863184337922775
5.3170906046188,10.6341812092376
-1.125750395202072,-2.251500790404144
5.277957801441094,10.555915602882187
8.41985869389346,16.83971738778692
3.4111392624612726,6.822278524922545
9.499234056993153,18.998468113986306
5.856463397116716,11.712926794233432
-7.638170199009804,-15.276340398019608
-1.3757524577236495,-2.751504915447299
-8.661532712423908,-17.323065424847815
-6.844139766391841,-13.688279532783682
8.69426511067061,17.38853022134122
5.549959616089319,11.099919232178639
-4.984508751735577,-9.969017503471154
0.5405716443643804,1.0811432887287609
5.146310862494159,10.292621724988319
0.9428733207774727,1.8857466415549453
5.162776372235303,10.325552744470606
8.30376035196631,16.60752070393262
-0.6352644370158913,-1.2705288740317826
-8.282759774167129,-16.565519548334258
-0.46350726956923083,-0.9270145391384617
-3.211971586288116,-6.423943172576232
6.227368446443208,12.454736892886416
-9.372331198844224,-18.744662397688447
7.412938070496555,14.82587614099311
2.053704225266655,4.10740845053331
-5.413183410058964,-10.826366820117928
5.482371594284727,10.964743188569454
3.704371580972424,7.408743161944848
-9.824597347009615,-19.64919469401923
-8.994939100267354,-17.989878200534708
-3.9065302205153296,-7.813060441030659
-7.890632639614901,-15.781265279229801
-0.9721144486491546,-1.9442288972983093
6.706616260881187,13.413232521762374
4.200482592318682,8.400965184637364
-6.920792108173717,-13.841584216347433
-9.39631695858897,-18.79263391717794
-8.72040012525737,-17.44080025051474
-7.282149598224786,-14.564299196449571
-4.745698727587628,-9.491397455175257
1.0189416663688444,2.037883332737689
-2.9495760072241284,-5.899152014448257
-6.428188668309582,-12.856377336619165
-9.85960607307373,-19.71921214614746
-1.8379293158620946,-3.6758586317241893
-1.8804451110616114,-3.7608902221232228
-5.798766405429719,-11.597532810859438
8.886976340330428,17.773952680660855
-9.760727969030334,-19.52145593806067
2.352668135623306,4.705336271246612
5.676609447896105,11.35321889579221
7.019552904805156,14.039105809610312
6.174671746478555,12.34934349295711
-8.599926672309358,-17.199853344618717
8.873929572106242,17.747859144212484
-9.202696555357141,-18.405393110714282
-6.933800173497453,-13.867600346994905
-1.711062162400017,-3.422124324800034
-1.2761563285482342,-2.5523126570964685
7.815106100131391,15.630212200262783
1.5733634763549524,3.146726952709905
-2.5306682951408614,-5.061336590281723
-4.1851212086505125,-8.370242417301025
0.39209766792951584,0.7841953358590317
-1.63647346437331,-3.27294692874662
0.829836921089008,1.659673842178016
7.396674539427337,14.793349078854675
-7.731959947172573,-15.463919894345146
1.432891146509922,2.865782293019844
-4.824789227606415,-9.64957845521283
-9.51426149920534,-19.02852299841068
1.8805011944492644,3.761002388898529
-3.5298050020203586,-7.059610004040717
-7.536026619310528,-15.072053238621056
0.6891626165367342,1.3783252330734683
0.7828347163405365,1.565669432681073
1.9103562298777366,3.820712459755473
5.937160212323118,11.874320424646235
-5.399853314281417,-10.799706628562834
